course_name,course_credits,course_uni,course_location,application_status,initial_tuition_fee,total_tuition_fee,period,course_dates,level,language_of_instruction,application_code,teaching_form,meetings,pace_of_study,instructional_time,location,subject_areas,top_level_subjects,course_starts,link
Advanced sport psychology: Talent development and motivation,7.5,The Swedish School of Sport and Health Sciences,Stockholm,Closed for late application,Information not available,Information not available,Autumn 2023 Period 1,28 Aug - 29 Oct,Master's,English,GIH-23239,"Course, On-campus",,Half-time,Mixed-time,Stockholm,,,,https://kurswebb.gih.se/
Advanced Structural Dynamics,5,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,12900,12900,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,LNU-F2018,"Course, On-campus",,33%,Daytime,Växjö,Mechanical Engineering,Technology,,https://lnu.se/en/course/4MT327/20232/F2018
Advanced Studies in Chemistry,15,Umeå University,Umeå,Open for late application,35700,35700,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,UMU-56027,"Course, On-campus",,Full-time,Daytime,Umeå,Chemistry,Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5KE035
Advanced Studies in Chemistry,15,Umeå University,Umeå,Open for late application,35700,35700,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,UMU-56038,"Course, On-campus",,Full-time,Daytime,Umeå,Chemistry,Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5KE035
Advanced Studies in Chemistry,30,Umeå University,Umeå,Open for late application,71400,71400,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,UMU-56042,"Course, On-campus",,Full-time,Daytime,Umeå,Chemistry,Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5KE036
Advanced Studies in Chemistry,7.5,Umeå University,Umeå,Open for late application,17850,17850,Autumn 2023 Period 1,28 Aug - 1 Oct,Master's,English,UMU-56028,"Course, On-campus",,Full-time,Daytime,Umeå,Chemistry,Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5KE142
"Advanced studies in Chemistry, continuation course 30 credits",30,Umeå University,Umeå,Open for late application,71400,71400,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,UMU-56012,"Course, On-campus",,Full-time,Daytime,Umeå,Chemistry,Natural Science,,http://www.umu.se/english/education/courses-and-programmes/course?code=5KE179
Advanced Studies in Interpretation 1,30,Royal College of Music in Stockholm,Stockholm,Closed for late application,127500,127500,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,Swedish,KMH-CA161,"Course, On-campus",,Full-time,Daytime,Stockholm,Music,"Arts, Design and Media",,https://www.kmh.se/in-english/education/programmes-and-courses/freestanding-courses/advanced-studies-in-interpretation-1.html
Advanced studies of Sustainability in Nordic Ecosystems,7.5,University of Gävle,Gävle,Cancelled,18000,18000,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,HIG-18133,"Course, On-campus",,Half-time,Daytime,Gävle,"Biology, Natural Science",Natural Science,,http://www.hig.se/4.5202771113a0820145e87d.html?identifier=BIA007
Advanced topics in health economic evaluation methods,7.5,Umeå University,Umeå,Closed and will not be opened for late application,18550,18550,Autumn 2023 Period 2,27 Nov - 14 Jan,Master's,English,UMU-F3031,"Course, On-campus",,Full-time,Daytime,Umeå,"Business Administration and Economics, Global Health, Health and Medical Care, Public Health",Health and Medical Care | Business Administration and Economics,,http://www.umu.se/english/education/courses-and-programmes/course?code=3FH066
Advanced topics in health economic evaluation methods,7.5,Umeå University,Umeå,Open for late application,18550,18550,Autumn 2023 Period 2,27 Nov - 14 Jan,Master's,English,UMU-30436,"Course, On-campus",,Full-time,Daytime,Umeå,"Business Administration and Economics, Global Health, Health and Medical Care, Public Health",Health and Medical Care | Business Administration and Economics,,http://www.umu.se/english/education/courses-and-programmes/course?code=3FH066
Advanced Topics in Media Technology,7.5,Linnaeus University (Kalmar Växjö),Växjö,Closed for late application,19300,19300,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,LNU-F2063,"Course, On-campus",,Half-time,Daytime,Växjö,"Computer Science and Engineering, Media Technology","Arts, Design and Media | Technology | Computer Science and Engineering",,https://lnu.se/en/course/4ME312/20232/F2063
Advanced Visualisation Methods,7.5,Södertörn University,Huddinge,Open for late application,17873,17873,Autumn 2023 Period 2,27 Nov - 14 Jan,Master's,English,SH-44058,"Course, On-campus",,Full-time,Daytime,Huddinge,Media Technology,"Arts, Design and Media | Technology",,https://sh.se/study?code=ME003A&lang=en
"Aeronautical Engineering, Master's Programme",120,Linköping University,Linköping,Closed for late application,63000,252000,Autumn 2023 Period 1,,Master's,English,LIU-91125,"Programme, On-campus",,Full-time,Daytime,Linköping,"Materials, Construction and Manufacturing, Mechanical Engineering, Technology, Vehicle Engineering",Materials | Technology | Construction and Manufacturing,21 Aug,https://liu.se/en/education/program/6maer
"Aerosols, Clouds and Climate",7.5,Stockholm University,Stockholm,Closed and will not be opened for late application,17500,17500,Autumn 2023 Period 1,25 Sept - 29 Oct,Master's,English,SU-70716,"Course, On-campus",,Full-time,Daytime,Stockholm,"Environmental Science, Care and Protection",Care and Protection | Environmental Science,,https://sisu.it.su.se/search/info/MI8026/en?eventident=70716&semester=20234
Aesthetic Learning Processes,7.5,University College of Music Education in Stockholm,Huddinge,Submit your application on an external website.,None,None,Autumn 2023 Period 1,,Bachelor's,Swedish,,"Course, On-campus",,12%,Daytime,Huddinge,,,,http://smi.se/english/index.html
"African Languages, Data and Method",15,University of Gothenburg,Varied,Closed for late application,22250,22250,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,GU-13852,"Course, Distance",0,Half-time,Mixed-time,Varied,Languages,Languages,,https://www.gu.se/en/study-gothenburg/AF2213
"African Languages, Linguistic Structures",7.5,University of Gothenburg,Varied,Open for late application,11125,11125,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,GU-13850,"Course, Distance",0,Half-time,Mixed-time,Varied,Languages,Languages,,https://www.gu.se/en/study-gothenburg/AF2211
"African languages, Theory",7.5,University of Gothenburg,Varied,Open for late application,11125,11125,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,GU-13851,"Course, Distance",0,Half-time,Mixed-time,Varied,Languages,Languages,,https://www.gu.se/en/study-gothenburg/AF2212
"African Languages: Xhosa and Zulu, Introductory Course",7.5,University of Gothenburg,Varied,Open for late application,11125,11125,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,GU-13816,"Course, Distance",0,One-quarter-time,Mixed-time,Varied,Languages,Languages,,https://www.gu.se/en/study-gothenburg/AF1121
African popular literature from the postcolonial novel to contemporary comics,7.5,Karlstad University,Karlstad,Open for late application,21000,21000,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,KAU-42639,"Course, Distance",,One-quarter-time,Daytime,Karlstad,English,Languages,,http://www.kau.se/en/education/programmes-and-courses/courses/ENAL05?occasion=42639
African Studies: Developing the Research Proposal,1,Dalarna University,Falun,Open for late application,1450,1450,Autumn 2023 Period 2,18 Dec - 14 Jan,Master's,English,HDA-H3EUQ,"Course, On-campus",,One-quarter-time,Daytime,Falun,"African Studies, African Studies, Area Studies, Area Studies, Humanities",Humanities | Social Science and Behavioural Science,,http://www.du.se/redirect/course.aspx?language=en&code=AS3024&applicationcode=H3EUQ
African Studies: Education and Change in African Societies,8,Dalarna University,Falun,Open for late application,11600,11600,Autumn 2023 Period 2,6 Nov - 14 Jan,Bachelor's,English,HDA-H3EV2,"Course, On-campus",,Half-time,Daytime,Falun,"African Studies, African Studies, Area Studies, Area Studies, Development Studies, Humanities",Humanities | Social Science and Behavioural Science,,http://www.du.se/redirect/course.aspx?language=en&code=AS2004&applicationcode=H3EV2
African Studies: Education and Change in African Societies,8,Dalarna University,Falun,Open for late application,11600,11600,Autumn 2023 Period 2,6 Nov - 14 Jan,Master's,English,HDA-H3EUZ,"Course, On-campus",,Half-time,Daytime,Falun,"African Studies, African Studies, Area Studies, Area Studies, Development Studies, History, Humanities",Humanities | Social Science and Behavioural Science,,http://www.du.se/redirect/course.aspx?language=en&code=AS3021&applicationcode=H3EUZ
African Studies: Religion and Politics in African societies,9,Dalarna University,Falun,Open for late application,13050,13050,Autumn 2023 Period 1,28 Aug - 5 Nov,Bachelor's,English,HDA-H3EUT,"Course, On-campus",,Half-time,Daytime,Falun,"African Studies, African Studies, Area Studies, Area Studies, Development Studies, Humanities, Religious Studies",Religious Studies | Humanities | Social Science and Behavioural Science,,http://www.du.se/redirect/course.aspx?language=en&code=AS2006&applicationcode=H3EUT
African Studies: Religion and Politics in African Societies,9,Dalarna University,Falun,Open for late application,13050,13050,Autumn 2023 Period 1,28 Aug - 5 Nov,Master's,English,HDA-H3EUV,"Course, On-campus",,Half-time,Daytime,Falun,"African Studies, African Studies, Area Studies, Area Studies, Development Studies, Humanities, Religious Studies",Religious Studies | Humanities | Social Science and Behavioural Science,,http://www.du.se/redirect/course.aspx?language=en&code=AS3023&applicationcode=H3EUV
African Studies: The Dynamics of African Societies,12,Dalarna University,Falun,Open for late application,17400,17400,Autumn 2023 Period 1,28 Aug - 14 Jan,Bachelor's,English,HDA-H3EUL,"Course, On-campus",,Half-time,Daytime,Falun,"African Studies, African Studies, Area Studies, Area Studies, Development Studies, History, Humanities",Humanities | Social Science and Behavioural Science,,http://www.du.se/redirect/course.aspx?language=en&code=AS2005&applicationcode=H3EUL
African Studies: The Dynamics of African Societies,12,Dalarna University,Falun,Open for late application,17400,17400,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,HDA-H3EUP,"Course, On-campus",,Half-time,Daytime,Falun,"African Studies, African Studies, Area Studies, Area Studies, Development Studies, History, Humanities",Humanities | Social Science and Behavioural Science,,http://www.du.se/redirect/course.aspx?language=en&code=AS3022&applicationcode=H3EUP
"Ageing and Social Change, Master's Programme, 60-120 ECTS credits - First and main admission round",120,Linköping University,Norrköping,Closed for late application,40000,160000,Autumn 2023 Period 1,,Master's,English,LIU-91018,"Programme, On-campus",,Full-time,Daytime,Norrköping,Social Science and Behavioural Science,Social Science and Behavioural Science,21 Aug,https://liu.se/en/education/program/f7mag
"Ageing and Social Change, Master's Programme, 60-120 ECTS credits, Distance - First and main admission round",120,Linköping University,Norrköping,Closed for late application,40000,160000,Autumn 2023 Period 1,,Master's,English,LIU-91017,"Programme, Distance",5,Full-time,Daytime,Norrköping,Social Science and Behavioural Science,Social Science and Behavioural Science,21 Aug,https://liu.se/en/education/program/f7mag
"Ageing, Welfare, and the Sustainability of Societies",7.5,Linköping University,Norrköping,Open for late application,8745,8745,Autumn 2023 Period 2,6 Nov - 21 Jan,Master's,English,LIU-41003,"Course, Distance",1,Half-time,Daytime,Norrköping,Social Science and Behavioural Science,Social Science and Behavioural Science,,https://liu.se/en/education/course/755a07
"Agenda 2030 - Knowing, Measuring and Leading",7.5,Lund University,Varied,Closed for late application,15625,15625,Autumn 2023 Period 2,23 Oct - 14 Jan,Bachelor's,English,LU-E1007,"Course, Distance",0,Half-time,Daytime,Varied,Human Ecology,Humanities | Social Science and Behavioural Science,,http://www.lunduniversity.lu.se/lubas/i-uoh-lu-MESC02/E1007
Agile and Lean Development of Software Intensive Products,7.5,Blekinge Institute of Technology,Varied,Open for late application,15000,15000,Autumn 2023 Period 1,28 Aug - 14 Jan,Master's,English,BTH-D5903,"Course, Distance",0,One-quarter-time,Mixed-time,Varied,Computer Science and Engineering,Computer Science and Engineering,,http://www.bth.se/eng/education/courses/20232/D5903/
Agile software project management,7.5,University of Gothenburg,Göteborg,Closed and will not be opened for late application,18625,18625,Autumn 2023 Period 1,28 Aug - 29 Oct,Bachelor's,English,GU-18616,"Course, On-campus",,Half-time,Daytime,Göteborg,Computer Science,Computer Science and Engineering,,https://www.gu.se/en/study-gothenburg/DIT257
Agricultural Economics and Management - Master's Programme,120,Swedish University of Agricultural Sciences,Uppsala,Closed and will not be opened for late application,56500,226000,Autumn 2023 Period 1,,Master's,English,SLU-81070,"Programme, On-campus",,Full-time,Daytime,Uppsala,"Business Administration, Economics, Industrial Economics, Organisation and Management, Leadership, Organisation and Management, Marketing",Organisation and Management | Industrial Economics | Leadership | Business Administration and Economics,28 Aug,https://www.slu.se/en/education/programmes-courses/masters-programmes/agricultural-economics-and-management2/
"Agricultural Economics, Policy and Trade",7.5,Swedish University of Agricultural Sciences,Uppsala,Open for late application,13090,13090,Autumn 2023 Period 2,30 Oct - 14 Jan,Bachelor's,English,SLU-20182,"Course, On-campus",,Half-time,Daytime,Uppsala,"Business Administration and Economics, Economics",Business Administration and Economics,,https://www.slu.se/en/education/programmes-courses/course/5780454f-5877-11ed-a806-5f53db194482
"Agricultural, Food and Environmental Policy Analysis (AFEPA) - Master's Programme",120,Swedish University of Agricultural Sciences,Uppsala,Cancelled,56500,226000,Autumn 2023 Period 1,,Master's,English,SLU-81054,"Programme, On-campus",,Full-time,Daytime,Uppsala,"Agricultural Science, Economics","Agriculture, Horticulture, Forestry and Fishery | Business Administration and Economics",28 Aug,https://www.slu.se/en/education/programmes-courses/masters-programmes/agricultural-food-and-environmental-policy-analysis/
Agroecology - Master's Programme,120,Swedish University of Agricultural Sciences,Lomma,Closed and will not be opened for late application,62500,250000,Autumn 2023 Period 1,,Master's,English,SLU-81080,"Programme, On-campus",,Full-time,Daytime,Lomma,"Agricultural Science, Horticultural Science","Agriculture, Horticulture, Forestry and Fishery",28 Aug,http://www.slu.se/en/education/programmes-courses/masters-programmes/agroecology/
Agroecology and Sustainability of Production Systems,15,Swedish University of Agricultural Sciences,Lomma,Open for late application,38060,38060,Autumn 2023 Period 2,30 Oct - 14 Jan,Master's,English,SLU-20008,"Course, On-campus",,Full-time,Daytime,Lomma,"Agricultural Science, Biology","Agriculture, Horticulture, Forestry and Fishery | Natural Science",,https://www.slu.se/en/education/programmes-courses/course/fcf88e13-6ca3-11ed-9470-2f1215a843e7
