subject_areas,Top_Level_Subjects
Materials Technology,"['Materials, Construction and Manufacturing']"
"Development Studies, Economic History, Economic History, Economic History, Industrial Economics, Organisation and Management, Social Science and Behavioural Science, Work Science","['Industrial Economics', 'Humanities', 'Business Administration and Economics', 'Organisation and Management', 'Social Science and Behavioural Science']"
Physics,['Natural Science']
Physics,['Natural Science']
Sociology,['Social Science and Behavioural Science']
History of Science and Ideas,['Humanities']
"Global Studies, Political Science",['Social Science and Behavioural Science']
,['']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
,['']
Earth Science,['Natural Science']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Earth Science,['Natural Science']
Earth Science,['Natural Science']
Earth Science,['Natural Science']
"Arts, Design and Media, Comparative Literature, Film Studies","['Arts, Design and Media', 'Humanities', 'Arts', 'Design and Media']"
Earth Science,['Natural Science']
Biotechnology,"['Technology', 'Natural Science']"
Biotechnology,"['Technology', 'Natural Science']"
Health and Medical Service Development,['Health and Medical Care']
Radiation Physics,"['Health and Medical Care', 'Natural Science']"
Pharmacology and Pharmacy,['Health and Medical Care']
"Computer Science, Computer Technology, Information Systems, Information Technology","['Technology', 'Computer Science and Engineering']"
Meteorology,['Natural Science']
Health and Medical Service Development,['Health and Medical Care']
Mathematics,['Mathematics']
"Cognitive Science, Computer Science","['Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
Work Science,['Social Science and Behavioural Science']
"Psychology, Social Science and Behavioural Science","['Health and Medical Care', 'Social Science and Behavioural Science']"
"Cognitive Science, Psychology","['Health and Medical Care', 'Humanities', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
"History, Humanities",['Humanities']
"Global Studies, Media and Communications Studies","['Journalism, Communication and Information', 'Social Science and Behavioural Science']"
"Global Studies, Media and Communications Studies","['Journalism, Communication and Information', 'Social Science and Behavioural Science']"
"Development Studies, Media and Communications Studies","['Journalism, Communication and Information', 'Social Science and Behavioural Science']"
"Development Studies, Media and Communications Studies","['Journalism, Communication and Information', 'Social Science and Behavioural Science']"
Hospitality Management,['Social Work and Welfare']
Hospitality Management,['Social Work and Welfare']
"Electronics, Technology",['Technology']
"Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science']"
Political Science,['Social Science and Behavioural Science']
Journalism,"['Journalism, Communication and Information']"
Law and Legal Studies,['Law and Legal Studies']
Law and Legal Studies,['Law and Legal Studies']
Biology,['Natural Science']
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Economics,['Business Administration and Economics']
Linguistics,['Humanities']
Physics,['Natural Science']
"Automatic Control, Biophysics, Engineering Physics, Genetics, Mathematical Statistics, Robotics, Theoretical Physics","['Mathematics', 'Technology', 'Computer Science and Engineering', 'Natural Science']"
Music,"['Arts, Design and Media']"
Computer Science,['Computer Science and Engineering']
"Business Administration and Economics, Computer Science, Computer Science and Engineering, Humanities, Natural Science, Social Science and Behavioural Science","['Humanities', 'Natural Science', 'Business Administration and Economics', 'Computer Science and Engineering', 'Social Science and Behavioural Science']"
Computer Science,['Computer Science and Engineering']
"Engineering Physics, Environmental Techniques and Energy Technology, Physics","['Technology', 'Natural Science']"
"Materials, Construction and Manufacturing, Materials Technology, Mathematics , Natural Science","['Natural Science', 'Materials, Construction and Manufacturing', 'Mathematics', 'Materials', 'Construction and Manufacturing']"
"Materials, Construction and Manufacturing, Materials Technology, Mathematics , Natural Science","['Natural Science', 'Materials, Construction and Manufacturing', 'Mathematics', 'Materials', 'Construction and Manufacturing']"
Mathematical Statistics,['Mathematics']
Computer Science,['Computer Science and Engineering']
Automation Technology,['Technology']
Physics,['Natural Science']
Physics,['Natural Science']
"Computational Science, Computer Science and Engineering, Human Geography and Geography, Political Science, Social Science and Behavioural Science, Sociology, Statistics","['Natural Science', 'Computer Science and Engineering', 'Social Science and Behavioural Science', 'Mathematics']"
"Computer Science and Engineering, Global Health, Statistics","['Health and Medical Care', 'Computer Science and Engineering', 'Social Science and Behavioural Science', 'Mathematics']"
Computer Science,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
"Computer Science, Computer Technology","['Technology', 'Computer Science and Engineering']"
Computer Science,['Computer Science and Engineering']
Technology,['Technology']
Computer Science,['Computer Science and Engineering']
"Computer Science, Computer Science and Engineering, Computer Technology","['Technology', 'Computer Science and Engineering']"
Computer Science,['Computer Science and Engineering']
Computer Science,['Computer Science and Engineering']
"Computer Science, Computer Technology, Technology","['Technology', 'Computer Science and Engineering']"
"Computer Technology, Information Systems","['Technology', 'Computer Science and Engineering']"
,['']
"Computer Science and Engineering, Information Systems, Information Technology, Innovation Technology","['Technology', 'Computer Science and Engineering']"
"Computer Science, Innovation Technology","['Technology', 'Computer Science and Engineering']"
Technology,['Technology']
"Building Technology , Building Technology and Civil Engineering, Technology","['Materials, Construction and Manufacturing', 'Technology']"
Social Science and Behavioural Science,['Social Science and Behavioural Science']
Religious Studies,['Religious Studies']
Religious Studies,['Religious Studies']
"Biology, Ecology, Environmental Science, Care and Protection, Forestry, Natural Science, Social Science","['Natural Science', 'Agriculture, Horticulture, Forestry and Fishery', 'Care and Protection', 'Environmental Science', 'Social Science and Behavioural Science']"
"Biology, Ecology, Environmental Science, Care and Protection, Forestry, Natural Science, Social Science","['Natural Science', 'Agriculture, Horticulture, Forestry and Fishery', 'Care and Protection', 'Environmental Science', 'Social Science and Behavioural Science']"
Biology,['Natural Science']
Biology,['Natural Science']
Biology,['Natural Science']
Conservation,['Humanities']
Conservation,['Humanities']
"Business Administration, Marketing",['Business Administration and Economics']
"Business Administration, International Business Management, Marketing",['Business Administration and Economics']
Chemistry,['Natural Science']
"Arts, Design and Media","['Arts', 'Design and Media']"
"Languages, Portuguese",['Languages']
"European Studies, European Studies, Political Science","['Humanities', 'Social Science and Behavioural Science']"
"European Studies, European Studies, Peace and Development Studies, Political Science","['Humanities', 'Social Science and Behavioural Science']"
Information Systems,['Computer Science and Engineering']
Middle East Studies,"['Humanities', 'Social Science and Behavioural Science']"
"Languages, Portuguese",['Languages']
Sociology,['Social Science and Behavioural Science']
Civil and Environmental Engineering,"['Materials, Construction and Manufacturing']"
Peace and Development Studies,['Social Science and Behavioural Science']
Mechanical Engineering,['Technology']
"English, Humanities, Languages, Linguistics","['Humanities', 'Languages']"
"Business Administration, Economics, Finance",['Business Administration and Economics']
"Business Administration, Finance, Management and Financial Accounting",['Business Administration and Economics']
Chemistry,['Natural Science']
Astronomy,['Natural Science']
Physics,['Natural Science']
"Economics, Environmental Science, Care and Protection","['Care and Protection', 'Environmental Science', 'Business Administration and Economics']"
Physics,['Natural Science']
Physics,['Natural Science']
Economic History,"['Humanities', 'Business Administration and Economics', 'Social Science and Behavioural Science']"
,['']
Design,"['Arts, Design and Media']"
Swedish,['Languages']
"Creative Writing, English, Humanities","['Arts, Design and Media', 'Humanities', 'Languages']"
"Arts, Design and Media, Creative Writing, English, Humanities","['Arts, Design and Media', 'Humanities', 'Arts', 'Design and Media', 'Languages']"
